 ROLL NO. ,Sl,HU101,PH101,M101,ME101,ES101,PH191,ES191,ME192,HU181,XC181, SGPA 
10900113001,0,7,7,7,6,6,7,9,9,10,6,7.15
10900113002,1,7,9,8,7,7,9,9,9,9,9,8.11
10900113003,2,7,7,8,8,8,8,9,8,9,9,7.93
10900113004,3,7,7,8,8,7,9,10,10,10,10,8.22
10900113005,4,4,4,4,4,4,7,7,6,8,8,3.63
10900113006,5,6,8,8,7,8,9,9,9,9,9,8.04
10900113007,6,7,7,8,8,7,7,9,8,8,9,7.67
10900113008,7,5,6,6,7,6,9,10,9,8,6,7.0
10900113009,8,9,9,9,8,9,9,9,10,9,8,8.93
10900113010,9,5,6,6,5,4,7,9,8,8,8,5.85
10900113011,10,7,7,7,6,7,8,9,7,9,9,7.22
10900113012,11,5,6,5,4,4,7,7,6,7,6,4.78
10900113013,12,7,9,8,6,8,8,9,9,9,9,8.04
10900113014,13,6,9,9,6,8,9,9,8,10,8,8.07
10900113015,14,7,7,9,6,8,8,9,9,8,6,7.74
10900113016,15,6,7,6,5,7,8,9,8,8,8,6.89
10900113017,16,8,8,9,7,9,8,10,10,9,10,8.63
10900113018,17,7,7,8,5,7,8,7,8,9,9,7.19
10900113019,18,7,7,9,7,7,8,9,7,8,8,7.59
10900113020,19,5,5,7,6,7,8,8,6,9,6,6.48
10900113021,20,6,6,7,5,5,8,9,8,8,7,6.56
10900113022,21,7,6,7,7,5,8,9,8,9,9,7.04
10900113023,22,7,7,8,6,7,9,9,9,9,9,7.67
10900113024,23,6,5,6,4,6,8,9,8,7,8,5.96
10900113025,24,6,6,5,4,6,7,9,9,8,8,6.04
10900113026,25,7,9,9,8,9,8,9,7,9,9,8.41
10900113027,26,7,8,7,7,8,8,9,9,9,6,7.78
10900113028,27,6,7,8,6,7,8,9,8,7,6,7.22
10900113029,28,6,5,7,4,5,8,8,8,9,6,5.89
10900113030,29,6,6,8,7,5,8,8,10,9,9,7.26
10900113031,30,9,7,6,5,6,8,9,8,9,8,7.0
10900113032,31,7,6,6,6,5,7,8,7,8,7,6.37
10900113033,32,8,8,9,7,7,9,9,9,9,8,8.15
10900113034,33,7,6,7,6,5,8,8,8,8,4,6.52
10900113035,34,6,6,8,7,6,8,9,8,8,8,7.19
10900113036,35,8,8,9,7,7,8,9,8,10,7,7.96
10900113037,36,7,7,8,6,6,8,9,7,8,7,7.11
10900113038,37,5,7,8,8,8,8,9,8,7,8,7.67
10900113039,38,6,8,9,8,8,8,9,8,8,7,8.04
10900113040,39,7,7,8,8,7,9,10,8,10,9,7.96
10900113041,40,7,5,7,6,6,8,9,9,9,9,7.0
10900113042,41,6,6,6,5,5,7,9,7,9,8,6.3
10900113043,42,7,7,9,9,8,8,9,10,8,6,8.3
10900113044,43,5,4,7,5,5,7,8,7,7,8,5.63
10900113045,44,6,7,10,6,6,7,9,7,8,9,7.33
10900113046,45,7,7,9,7,7,9,9,9,9,8,7.93
10900113047,46,6,8,9,8,8,8,9,9,9,8,8.22
10900113048,47,7,8,9,8,7,9,8,10,9,9,8.3
10900113049,48,6,6,8,9,6,8,10,9,8,8,7.67
10900113050,49,5,4,6,4,5,7,8,6,9,5,4.89
10900113051,50,7,8,8,10,8,9,9,9,7,9,8.48
10900113052,51,6,8,7,6,6,7,10,7,8,8,7.07
10900113053,52,6,6,6,4,4,8,8,8,7,8,5.44
10900113054,53,6,5,7,6,5,7,10,7,9,9,6.56
10900113055,54,7,7,9,6,6,7,9,9,8,9,7.48
10900113056,55,6,7,8,6,5,8,9,9,8,5,7.04
10900113057,56,6,5,7,6,5,6,8,9,9,4,6.3
10900113058,57,7,8,8,8,7,9,10,9,9,9,8.19
10900113059,58,6,9,8,7,7,8,10,7,9,9,7.81
10900113060,59,6,6,6,7,5,7,9,8,8,8,6.67
10900113061,60,6,5,5,4,5,8,9,9,7,6,5.7
10900113062,61,7,6,7,7,4,8,9,7,7,9,6.41
10900113063,62,7,8,8,8,6,8,6,8,8,9,7.52
10900113064,63,6,9,9,8,5,9,8,10,9,8,8.04
10900113065,64,6,8,7,8,6,8,9,8,8,9,7.52
10900113066,65,8,6,6,7,5,7,9,8,8,8,6.81
10900113067,66,8,6,9,6,5,8,9,9,9,6,7.26
10900113068,67,8,6,8,5,6,7,8,7,9,7,6.78
10900113069,68,9,7,7,7,7,10,10,9,9,9,7.96
10900113070,69,8,7,8,7,7,8,9,7,8,9,7.56
10900113071,70,7,8,6,5,8,9,9,9,9,9,7.52
10900113072,71,7,7,8,6,7,7,9,10,8,7,7.52
10900113073,72,7,5,8,6,7,8,9,8,8,6,7.04
10900113074,73,7,5,6,5,5,9,9,8,9,9,6.52
10900113075,74,7,5,6,4,5,7,9,9,8,7,5.93
10900113076,75,6,7,8,7,6,9,10,9,10,9,7.7
10900113077,76,7,7,8,6,7,9,9,8,9,9,7.56
10900113078,77,6,5,6,4,5,7,8,7,8,7,5.56
10900113079,78,8,9,10,8,8,9,10,10,10,9,9.0
10900113080,79,8,8,10,8,9,8,10,10,9,9,8.89
10900113081,80,7,5,6,6,5,7,9,9,9,6,6.52
10900113082,81,8,5,7,4,4,7,9,7,8,8,5.52
10900113083,82,8,9,9,9,9,9,10,10,9,9,9.11
10900113084,83,8,7,7,7,6,8,10,8,9,8,7.44
10900113085,84,7,7,7,6,7,8,8,8,8,6,7.11
10900113086,85,8,8,8,7,6,9,9,9,9,9,7.89
10900113087,86,7,8,7,7,6,8,9,10,9,7,7.63
10900113088,87,8,7,7,7,6,8,8,8,9,9,7.33
10900113089,88,8,8,8,7,7,8,9,9,9,9,7.96
10900113090,89,7,7,6,5,7,7,8,7,8,9,6.74
10900113091,90,8,7,8,7,6,8,9,8,8,8,7.48
10900113092,91,8,8,5,5,7,9,9,8,10,9,7.22
10900113093,92,8,8,8,7,7,8,8,10,9,8,7.96
10900113094,93,8,7,7,6,6,7,9,9,8,8,7.22
10900113095,94,7,6,6,5,5,9,8,9,8,8,6.63
10900113096,95,7,8,5,6,5,7,10,9,9,10,7.04
10900113097,96,8,5,5,4,5,8,8,8,9,8,5.81
10900113098,97,9,7,4,5,6,7,8,8,10,10,6.37
10900113099,98,7,6,6,7,6,9,9,8,8,9,7.07
10900113100,99,7,8,9,8,8,7,10,9,8,9,8.3
10900113101,100,8,8,8,7,8,8,9,9,10,10,8.19
10900113102,101,8,8,8,7,7,9,9,10,10,9,8.19
10900113103,102,8,6,6,6,6,9,9,7,9,8,6.89
10900113104,103,7,6,7,4,6,7,8,5,8,7,5.85
10900113105,104,8,7,8,6,6,7,9,7,8,8,7.15
10900113106,105,8,6,7,5,6,9,8,9,9,6,6.96
10900113107,106,5,4,5,4,5,7,8,6,7,4,4.56
10900113108,107,8,8,9,8,8,9,9,9,10,9,8.52
10900113109,108,6,6,8,6,6,8,9,7,9,8,6.96
10900113110,109,7,9,8,8,7,8,9,9,9,9,8.19
10900113111,110,9,9,9,7,8,9,9,9,9,9,8.56
10900113112,111,7,7,7,7,6,8,9,8,9,7,7.26
10900113113,112,6,8,9,6,7,7,8,8,8,4,7.26
10900113114,113,6,6,8,6,6,8,9,9,10,6,7.15
10900113115,114,6,6,6,4,5,7,8,6,7,5,5.48
10900113116,115,6,6,7,7,6,7,8,7,10,9,6.89
10900113117,116,6,6,8,7,6,7,9,9,9,6,7.19
